hcp_id,engagement_date,channel,engagement_successful
1,2025-01-16 17:00:00,email,1
1,2025-02-21 16:00:00,email,1
1,2025-02-25 16:00:00,email,0
1,2025-03-13 14:00:00,email,0
1,2025-03-25 11:00:00,email,0
1,2025-04-28 14:00:00,rep_visit,0
1,2025-05-14 17:00:00,webinar,0
1,2025-06-18 16:00:00,email,0
1,2025-06-26 09:00:00,phone_call,0
1,2025-07-17 10:00:00,phone_call,0
1,2025-08-15 11:00:00,rep_visit,0
1,2025-08-20 14:00:00,webinar,0
1,2025-08-26 14:00:00,email,0
1,2025-09-05 11:00:00,phone_call,0
1,2025-09-10 17:00:00,email,0
1,2025-09-23 12:00:00,email,0
1,2025-10-02 16:00:00,email,0
1,2025-10-16 11:00:00,phone_call,0
1,2025-10-23 15:00:00,webinar,0
1,2025-11-07 08:00:00,webinar,1
1,2025-11-10 10:00:00,digital_ad,0
1,2025-12-15 08:00:00,rep_visit,0
1,2025-12-26 10:00:00,webinar,1
2,2025-01-31 08:00:00,email,0
2,2025-03-12 16:00:00,phone_call,0
2,2025-04-02 12:00:00,email,0
2,2025-04-17 10:00:00,webinar,0
2,2025-04-25 14:00:00,digital_ad,0
2,2025-05-14 13:00:00,phone_call,1
2,2025-05-26 16:00:00,webinar,0
2,2025-06-18 09:00:00,rep_visit,0
2,2025-07-23 09:00:00,digital_ad,0
2,2025-09-08 16:00:00,email,0
2,2025-09-29 10:00:00,phone_call,0
3,2025-01-15 14:00:00,email,0
3,2025-02-13 13:00:00,email,0
3,2025-03-12 13:00:00,digital_ad,0
3,2025-03-19 17:00:00,email,0
3,2025-03-26 17:00:00,digital_ad,0
3,2025-04-02 15:00:00,webinar,0
3,2025-04-09 12:00:00,digital_ad,0
3,2025-04-16 16:00:00,email,0
3,2025-05-22 14:00:00,webinar,0
3,2025-06-13 11:00:00,phone_call,0
3,2025-06-23 14:00:00,digital_ad,0
3,2025-07-04 09:00:00,email,0
3,2025-07-07 12:00:00,email,0
3,2025-07-14 10:00:00,phone_call,0
3,2025-07-29 17:00:00,digital_ad,0
3,2025-08-04 13:00:00,digital_ad,0
3,2025-08-21 10:00:00,digital_ad,0
3,2025-09-01 10:00:00,email,0
3,2025-09-12 12:00:00,digital_ad,0
3,2025-09-18 12:00:00,digital_ad,0
3,2025-09-24 13:00:00,rep_visit,1
3,2025-10-10 13:00:00,digital_ad,0
3,2025-10-15 14:00:00,webinar,0
3,2025-10-22 12:00:00,digital_ad,0
3,2025-10-31 17:00:00,digital_ad,0
3,2025-11-19 13:00:00,rep_visit,0
3,2025-11-28 12:00:00,digital_ad,0
3,2025-12-05 08:00:00,digital_ad,0
3,2025-12-11 17:00:00,phone_call,0
3,2025-12-25 08:00:00,digital_ad,0
4,2025-01-16 12:00:00,webinar,1
4,2025-01-23 14:00:00,webinar,0
4,2025-01-28 15:00:00,rep_visit,1
4,2025-02-27 13:00:00,phone_call,1
4,2025-03-21 12:00:00,webinar,0
4,2025-03-26 09:00:00,email,0
4,2025-05-08 17:00:00,phone_call,0
4,2025-05-21 12:00:00,email,0
4,2025-06-02 08:00:00,email,1
4,2025-06-20 11:00:00,email,1
4,2025-07-09 17:00:00,webinar,0
4,2025-07-14 09:00:00,webinar,0
4,2025-08-06 17:00:00,webinar,1
4,2025-09-10 11:00:00,email,0
4,2025-09-30 09:00:00,phone_call,1
4,2025-10-08 16:00:00,digital_ad,0
4,2025-10-16 13:00:00,digital_ad,0
4,2025-10-22 11:00:00,rep_visit,0
4,2025-10-28 08:00:00,phone_call,0
4,2025-11-05 09:00:00,email,1
4,2025-11-24 11:00:00,webinar,1
